"","x"
"38","And the (almost) finished product? I have to say...decidedly un-ghetto for all my corner cutting. The stripes are soft, I love the color combination and I think it's a nice tailored look for a baby boy's nursery. I had deliberated trimming it with some gray hem tape or pom-pom fringe but I think less is more in this case. I love that it gives the crib a more finished appearance AND some hidden storage space for unsightly things like boxes of diapers."
"39","Surprised? Ho Chi Minh was a political genius, tricking everyone into believing his lies. Using patriotism, nationalism, and the pretext of fighting for freedom, Ho Chi Minh demonized the Americans and defeated them in the war. It is true, Ho Chi Minh was an inspiring man. He was a charismatic individual who was able to gain support from many people inside and outside of Vietnam. However, actions speak louder than words. The crimes he committed against humanity have clearly been proven. He was a criminal, not a patriot. Thanks to him, Vietnam is now going through a phase of decline and self-destruction. He is not the hero that we all thought he was. However, I will acknowledge his title as the master of deception. He’s a tricky one."
"40","Lash Plus Intensive Lash Growth Serum."
"41","against all sense and nature,"
"42","The S.O. and I were wondering, though, just what happens to the refrigerators once they're collected from people's homes. Where do old refrigerators go to die? Our assumption is that their fate must be similar to that of cars traded in during that ""cash for clunkers"" program a few years ago -- the crusher, the shredder, and a slow boat to China -- but who knows?*"
"43","Mix together and cook on stovetop using Pam and flipping once."
"44","This last weekend I came “home” to Tucson to attend Stephanie Porter’s wedding. She is my cousin Jeff Porter and his wife Michelle’s oldest daughter and a University of Arizona grad, like both Rick and I. The wedding was gorgeous but was only part of an amazing weekend. To begin the weekend I had brunch that extended into lunch and then early afternoon with an amazing friend, Debbie Harvey, who I lived with for a time while teaching at ASDB. Debbie and I are opposite in many ways but alike in more and had a wonderful time catching up with each other. It was a special gift. Rick and I were also able to catch up with good friends from our first days of marriage, Dave and Cindy De Fer. We’ve spent time with Dave and Cindy both in Tucson and in San Diego where their boat is docked and we are always able to start up our relationship right where we left off the last time we were together."
"45","Mardi Gras! The word conjures up all sorts of images in the mind. We think of parades, floats, masquerades, balls, beads, doubloons, parties, king cake and revelry. New Orleans Promises it as “the greatest free show on earth”, and it is considered by most to be a time of good wholesome fun."
"46","I would publicly like to thank those who entrusted me with thier vote at the recent elections in Eastleigh on 3rd May."
"47","Me: “No. I’m saying you might have to do one or the other.”"
"48","""I feel sexy and attractive so that's the way I act,"" said Mikey, from Memphis, in the US."
"49","I hope all is well wherever you are. It has been a mix of rain and sun. I also have had this crazy bluebird that spends his days flying into my living room window or patio door. It actually, after a week or so of it, is getting annoying."
"50","""Tickets? Tickets? You wee shites got any tickets?"""
"51","The plan of the Left has always been to shackle the First World and transfer First World wealth to the Third World. Tht is the plan."
"52","19. Tiki Torches at Twilight"
"53","I'm thrilled with the results that all the people in my life are getting with the diet too. My dad is diabetic and has started the diet, and in only 11 days he says he feels better already and his joint aches are gone."
"54","1st in Series: B+"
"55","Do look at photographs together; Don’t expect the person to recognize everything."
"56","“For by one Spirit are we all baptised into one body, whether we be Jews or Gentiles, whether we be bond or free; and have been all made to drink into one Spirit.”"
"57","So whoever received the angry comments sent an email to the head of The Sims Studio about the problem, and then that guy asked David Karp what to do. Karp then sent the head of TSS an email with a string of letters, numbers, and other symbols. The head of TSS took a look at it and thought, seems legit, so he released it as the next patch and BAM!"
"58","Some visitors came searching, mostly for fish spa, jetstar, back brace, bbq pork, and vipin vohra and viva global."
"59","4. (The ‘not as terrible as the other three’ spot.’) San Francisco 49ers"
"60","“The woman gets the ring–unless it’s an heirloom.” (Vanessa Lloyd Platt)"
"61","But the defensive 4 is… well… kind of average. Williamson particularly, I’m sometimes not sure how he passes as a premiership defender. Maybe that’s a bit harsh, but he was only quite good for Pompey and Watford, who are poor and average championship teams respectively. And Coloccini showed no real signs of being a good defender until this season."
"62","The good man does something negative: He does not walk in the way of the sinners, etc. He won’t even take a stroll through the wickedness of the unrighteousness. Instead, day and night he is chewing on the Word of God. It is his waking and sleeping thought."
"63","“Therefore, rid yourselves of all malice and all deceit, hypocrisy, envy, and slander of every kind.” (I Peter 2:1)"
"64","Papers - Nitwits Collection- Great expectations and Bundle of Joy"
"65","He was not interested but the temptation to spend some time with her was over powering."
"66","The following figure demonstrates how an application with two fragments can be arranged for both handsets and tablets when using separate activities for the handset design:"
"67","Lime - 1/2"
"68","They deserve it."
"69","I guess with the “drastic cold” in the area any and everything and everyone is getting sick-ish of some sort. I am trying to beat it out so far I am hanging in there but we shall see what this week brings. Hopefully more time and not so much school work. I can dream right?"
"70","I had some free time on my hands and an empty fridge so I took myself off to my closest 'farmer's market' to stock up on seasonal produce and have a look around last weekend. Now, I think the term 'farmer's markets' might be over used a bit these days because these markets I went to were definitely not full of stall holders who grew the produce and came to market to sell it. So what is a farmer's market exactly? According to the Australian Farmer's Market Association:"
"71","5. Everything is so cheap here (at least if I compared to Jakarta), especially the alcoholic drinks."
"72","Listen to the Beatles. You can actually hear their poetry."
"73","Season: Summer!"
"74","Reasonable goals. Reasonable goals."
"75","It got me thinking about my own choices lately from the canvas of games — something which is certainly divergent from the AAA space. I’ve been continually frustrated lately trying to find something worth playing that can hold my interest on the iPhone for example. All the hardware I could ask for in my hand and yet not a damn thing that seems compelling. I’ve booted up several potential contenders I had high hopes for and yet, nada."
"76","Beaver Pond/Wildlife: A beaver has definitely been at work in this backwater area of the lake. I didn’t see any trees that had been recently cut down by the beaver nor did I see the beaver’s dam, but the results of the animal’s work are on full display. Most notably, what was once a walkway designed to carry hikers over a boggy area is now a floating “bridge” across the beaver’s pond. In a couple of places, the bridge is submerged in a couple of inches of water. As I walked through these sections, I looked down to see minnows streaming around my boots. Also, I found the bridge rolled like a fun house walk, if I stepped too far to either side of it. I saw lots of wildlife in this area, including a family of wild turkeys, rising up through the underbrush at my approach. (Approximately 20 minutes walking time from Church Street parking lot.)"
"77","I suppose it’s time to discuss the house: the blue house mid-block. It was never a beautiful house, never gorgeous beyond belief. It was well kept, and had a nice front yard with a rose bush next to the window, but it wasn’t anything to look twice at."
"78","Again, I don't even know where to start. So I will have to resort to just touching on some major important moments. And I hope I remember them all."
"79","Take an extra 10% off the already low prices on our fly tying and clothing items, for Friday and Saturday only."
"80","Last July’s rally brought tens of thousands to the streets but was met with police tear gas and water cannon."
"81","There are however two ways that street fishers do like to differentiate themselves from other members of the fishing community. Firstly, the activity should no longer be seen as sedentary, but one based on mobility. The street fisher uses lightweight material, and moves around to find the best spot at a particular moment. Secondly, street fishers never keep fish out of the water for any significant length of time, and never eat their catch. “We are militants” explains Pierron, “militants for a modern, responsible form of fishing”. He calls the method used ‘catch and release’, but the website displays grafitti style logos for the NoKillGeneration."
"82","I hate driving home from a road trip. Especially this morning. I drove the 5 and half hours back from Boston with 4 cups of coffee and a large Red Bull pumping through my veins. We left at midnight, so I didn’t even bother trying to get any sleep last night. I’m surprised I wasn’t hallucinating by the end of the trip. No sleep in 24 hours? Trippy, man. But well worth it."
"83","Well below your ego"
"84","As you may recall Kyoungmo Kim of now disbanded Especially When (interview & download link for one of the best songs ever written here) has started anew with Sunkyeol. Eager as I am to learn more about this band that already has had me obsessively playing the same song(s) over and over again, I'm very happy that he took the time to answer a few questions for Indieful ROK:"
"85","Now I’m not very good at talking in real words you know, about real situations and all of the above. You should all know I have totally no religious beliefs at all, none – a complete unbeliever, but that shouldn’t and doesn’t stop me from wanting what this award stands for."
"86","Anyway, some news. I got my first assignment back, on Ibrahim as an Early Monotheist, which gave me an A (yeah!), and recommendations for improvements, such as explaining why the differences I found are there. I might attempt to incorporate that, but I still wanted to share the done assignment with you, which you can find on the right side on the main page, in the Box-widget. Yes, that’s another new thing, where you from now on will be able to find the various articles I might write, as well as my done assignments, as soon as they are available."
"87","The waitress returned and as Hank and Bobbie-Joe started to order she queried, “Are y’all from Australia? Cos I watched a movie last night with an Australian in it, well it was an American actor but he was playing an Australian and y’all accents sound the same”. She was delighted when, despite the American sounding names, Hank and Bobbie-Joe were in fact, Australians. With a giggle, the waitress resumed taking the order."
"88","* 1 cup grated sharp Cheddar"
"89","In a small bowl, whisk together the sugar and cinnamon. Turn the cinnamon sugar out onto a dinner plate, or another pie plate."
"90","a hillscape of the sheets and covers, you buried there."
"91","Rodiogal also claimed that I insulted Elizabeth Warren by calling her a ""carpetbagger"". Umm, look it up, I think Warren's pic is right there next to the definition."
"92","from H&M:"
"93","What might not be apparent here is that the upper left part of the test images is from the “Warm” setting, and the lower right from the “Cool” setting. These are inverse of the control names, as they are to compensate for warm or cool lighting; adding warmth to the image compensates for cooler lighting, and visa versa."
"94","I should pause here a minute to explain what exactly a sunchoke is, since they are not very common American cuisine. The sunchoke (also called sunroot, or most commonly Jerusalem artichoke) is a native North American member of the same plant family as sunflowers, that produces a large potato like tuber that resembles a ginger root in size, shape, and color. The tubers can be eaten raw or cooked any way a potato can and taste much like potatoes."
"95","I RUSH to my laptop before it's too late."
"96","DRUMROLL PLEASE…………….."
"97","About the Gatton Academy: The Gatton Academy offers a residential program for bright, highly motivated Kentucky high school students who have demonstrated interest in pursuing advanced careers in science, technology, engineering and mathematics. Approximately 60 students each year are admitted to the program through a competitive selection process. Instead of spending their junior and senior years in traditional high schools, students enroll in the Gatton Academy and live in a uniquely dedicated residence hall. The goals of the Gatton Academy are to enable Kentucky’s exceptional young scientists and mathematicians to learn in an environment that offers advanced educational opportunities and to prepare them for leadership roles in Kentucky. At the end of two years, Gatton Academy students earn at least 60 college credit hours in addition to completing high school. Contact: Corey Alderdice, (270) 745-6565."
"98","* 2 extra-large eggs, at room temperature"
"99","tall tales & short stories started life in January 2009 and its first featured debut author interview was with Sarwat Chadda. I think I may have been one of the first if not the first person to interview Sarwat so it’s been fascinating to follow the journey he’s been on since his first tentative steps into the author limelight."
"100","The self is kind of a mind trick. Misunderstandings about the self can be the source of many problems. To dive into a study of the self, it helps to practice mindfulness. It’s good to be able to consciously detach yourself from the self in order to observe the self."
"101","Weekend"
"102","her salt curvature; which sonars"
"103","Month three. Same thing"
"104","“Uhh…you—“"
"105","Lug end style : Straight End"
"106","Laura Bartlett Gallery (here): Cyprien Gaillard (5), John Divola (3), Becky Beasley (1 set of 3). I liked the changing definition of space in this hybrid of sculpture and photography by Beasley. It was priced at £11500."
"107","is to stay on the board as long as possible."
"108","I don’t want to find myself sighing and frightened,"
"109","The contradiction is roughly as follows: Rousseau wants a unified, cohesive society, and is thus hostile to class conflict. Now, on the one hand, this requires ‘bringing everyone in’ – including all sections of society in the ‘sovereign assembly’ that will formulate the laws, so that nobody is alienated from the social body. This is why Rousseau upholds the degree of democracy that he does."
"110","For those with kidlets heading back to school in the morning I hope all goes smoothly for you. Thanks for visiting & don't forget to mark the sale date in your diaries... you won't want to miss this one!!!"
"111","3. Michelob Lager"
"112","So far, so good. But Jimmy has a prognostication: He says calmly:"
"113","“No,” he replied, smile widening. For a moment I thought he might be actually pleased to be reminded he didn’t have to go to school that morning. Reliving it must somehow double the pleasure to a school going lad."
"114","its commodity form...the vacation. They want the wilderness to be a"
"115","Sway and dance on sacred mounds"
"116","Drop a compliment now and then to make the abuser feel good about him/herself."
"117","Thai food. Why? I don’t know. But somehow something tells me they like Thai."
"118","Women’s Rights"
"119","We Love you all so very much, and we make our exit from this communications with this Love and with this Joy that we have wished to impart unto you with this message."
"120","Well wait a minute… to see the return on these investments, you must sell these stocks for more dollars! Under this premise, if the dollar collapses and you are still living in America, what good will a bunch of dollars do from your short bets? And as for the gold and silver investments advised, what good will gold be if it is valued in dollars? The claim that gold will go up in value to $5,000 is nothing but a very popular and deceiving gimmick. With a theoretical collapsed dollar, $5,000 or $500,000 in gold valued in dollars will be all but worthless in dollars, since the dollar will be worthless."
"121","Per Thomas Homer-Dixon, empires rise and fall based on their control of the dominant energy supply, and the US also faces a shift from oil to renewables. He adduces evidence that no empire has ever survived such a shift, because ""the reigning hegemons are always too deeply invested in the current system to recognize the change, let alone repond to it in time."""
"122","Sumo Dead-lift High-Pull: 75 pounds. (Reps)"
"123","Moylan's Brewery Celts Golden Ale"
"124","Grameen Foundation’s Lisa Kienzle, Olga Morawczynski and Ali Ndiwalana recently co-authored a blog post with Ignacio Mas on the blog Mobile Active. Here they introduce and user-test one concept of savings: deferred payments over mobile money. Below is an excerpt, followed by a link to the full post."
"125","acclaim the sanity of teapots"
"126","The cover of the rare issue pictures Superman lifting a car over his head"
"127","One cannot deny that he was a nepotist, but he did not commit any illegal act as the leader of Vietnam as some would suggest. The reason President Ngo Dinh Diem gets murdered by Duong Van Minh is because of was will to oppose American imperialism. The Americans wanted him to do what they instructed him to do, something that Diem will not comply with. President Diem’s actions were in the interest of Vietnam and not the Americans. So for that reason, the American government looked for a man who was willing to do their dirty work for them. They wanted someone who hated Ngo Dinh Diem, who can’t understand the complexity of the situation and was easy to mold. The Americans discover these traits in ex-General Duong Van Minh. So on November 1, 1963, President Ngo Dinh Diem and his younger brother Ngo Dinh Nhu were kidnapped and executed the next day. Before Diem’s death, North Vietnam was kept in check, his assassination gave the Vietcong an opportunity to move in the army. After Diem died, it took three years of continuous failed governments before Nguyen Van Thieu finally emerged."
"128","I was gonna write a real “sturring” response on the effects of this fountain of youth but I think ya’ll would have a good time doing a little research on your own. There is quite a bit on this part of Texas even though there ain’t much to the place itself. It is all in one’s mind and you will see what I am talking about….maybe. I will post a couple of clicking links ( go ahead and “Google “ – Hondo Crouch )and If I can figure out how to get ‘em in the right places, I will post some pics."
"129","Then a cartoon posted to the mayor’s Facebook page causes an even greater outpouring of angst and hand-wringing among people who should know better."
"130","On the first of May, we confirm that the first step is to end the current Palestinian division and political disintegration and put aside narrow factional interests in the interests of the unity of the people and their struggle. Jerusalem, the West Bank, and Gaza are still suffering from aggression, siege, starvation, and crisis, and this means that unity must come first, and unity is the inalienable choice of the Palestinian people. At the same time building an economy of resistance and national steadfastness must be an economic priority before any other interest, to protect workers, economic and social rights, fight corruption, adopt the minimum wage and social protection in order to end the situation of work in the settlements and return instead to the cultivation of agriculture and protection and development of sectors, sources, and natural and productive resources, and salvation from dependence on the market and the occupation economy."
"131","I invested my precious life in things that I haven’t been asked for. Nobody asked me ‘Dear Iulian, how do you want to live your life? Do you want to help people, make money, maybe go travel the world?’. Nobody did this and there are a lot of reasons to do so."
"132","Laughing to the resounding beats"
"133","Professor Robin Touquet, consultant in emergency medicine at St Mary's Hospital, Paddington, says: 'At 40 per cent pure ethanol, vodka in the eye would create inflammation and thrombosis - clotting of the blood vessels - such that very little alcohol would be absorbed. Unlike the stomach, the eye does not have a gastro-intestinal lining to protect it and aid absorption."
"134","This is the hardest part for me. I wanted to do all platters because they are so pretty, but like my sister said platters are just so costly. One year..not this one though, lol."
"135","- Gennady Ilyin / vocals and keyboards"
"136","Optimise Home Report"
"137","I'm so glad you stopped by. And thank you so much for all the wonderful compliments and welcome to my new followers."
"138","Now I am not going to claim knowledge or understanding of the mythology, hermeticism and western mystical traditions which theme or inspire the music on Half Blood and it is not important as the music finds and gives its own meaning as it engages mentally and emotionally. Half Blood is in the words of Miller “a meditation on hybridity, impurity and evolution”, and that second word is the key, meditation. Throughout its movements of dark and light, with intrusive and caressing opposites side by side, the whole experience is meditative. At times the music scrapes the senses and in others it leads them through a caustic dark into enveloping acidic warmth, but it is never less than mesmeric of hypnotic."
"139","When I was a kid I used to sell stuff. My mother encouraged me because she wanted me to become a businesswoman. I eventually stopped because it was hard to keep track of the businesses and keep up with my homework."
"140","Why this somewhat curmudgeonly stance? Just that last time I wrote about these, they were not particularly in the spirit of special brews for seasonal purposes, but ordinary beers with a daft name."
"141","Rm350"
"142","He looked like all life had been sucked dry from his being."
"143","While you're over there at scarletthread.com, check out a new pattern we're carrying, From Molehill to Mountain. It's not really new, just new to our site, and it's more than just a pattern: It's a 157-page book packed with instructions and diagrams for this intensive color study."
"144","12) Now that you're a soon-to-be-published author and a more experienced writer, what advice would you give to your unpublished self?"
"145","Mr. Schoenfeld said that the latest disclosure by the Times about the financial surveillance was less clear cut as a legal violation because it did not appear to involve communications intelligence, which is specially protected under federal law."
"146","I'd love to hear from readers and fellow Jack Cole fans as to whether this ad appears to them to be drawn by Jack Cole."
"147","Years after renovating his own house & swearing he’d never go through something like that again, here was my dad toiling with mine. I asked for help, but my dad would simply do it on his own. I was often left standing around. Oh, and running for coffee. “But I wanna do it,” I’d whine as my dad hustled about with my house repair for the week. “You can watch. I’ll get done quicker that way,” he’d reply, a smirk across his face."
"148","Of course, I simply had to capture the first snow with my camera and thus I hope you will indulge me one more time, as I share with you the images of our overgrown lawn. I have shown it previously covered with droplets of dew in early autumn and the first frost in late October."
"149","Of course... I need reminders just like everyone else from time to time. I think this part of the verse is a hard one to really grasp onto and practice."
"150","2 tbs sugar"
"151","A. Reese Felts has many missions. We give students digital skill sets and practical application through story development, production and publishing across multiple platforms. Our site, reesenews.org, serves as not only an outlet for students’ work but the foundation for the project’s audience research initiatives. We look to create natural partnerships with legacy, new media and citizen journalists. That gives us an opportunity to look at strategies to help companies continue making the transition to the evolving digital and cultural audience habits."
"152","Purse: Violin from a Chinese manufacturer on ebay"
"153","""If I had magic powers, I'd make you feel better,"" I said at one point."
"154","so what."
"155","If you necessity to dramatically gain power, evolve original habits of mind. Rite a nearedian and you'll see that she has housebroken her listen to wait for the ""diametric viewpoint"" on familiar things. You can educate your head to do the said."
"156","Fortunately modern day employers provide their employees with an entertainment device: the computer. Yes, they say these computers are for “creating PowerPoints” or “receiving management’s emails,” but we all know they really want us to spend find out about Tara Reid’s 24-hour engagement, subsequent marriage, and future divorce."
"157","rhythms from the slaves they brought in and screwed."
"158","By Daniel Woods"
"159","The track through the wood is dead straight, and at some point in the past has been excavated so that its surface is a few inches below the level of the surrounding woodland floor. This, plus the linear alignment shown on the map – Roman? – leading to what appears to be a lozenge-shaped earthwork (as well as the presence of other neolithic sites in adjacent Denge and Eggringe Woods) arouses my curiosity and I press on."
"160","Morello: Aw, Phreak’s whimpering."
"161","I want to take a moment to wish friends and family an amazing and wonderful year in 2012."
"162","Well… let’s think about this for moment."
"163","The true life-blood of the planet"
"164","there staring at me. A nostalgic smile was on her lips. 'It was I who used"
"165","Whatever they mean, this howling is somewhat comforting, like great trumpets announcing the end of one thing and the beginning of another. It’s terrifying for sure, apocalyptic, yet how can one not be awed by it, accept its inevitability. This is big, very big, beyond us, and even the dogs know it."
"166","I sent the band into the chilly, damp November night with wishes for a Happy Thanksgiving, and then I came back inside, lit some candles and sat for my own run-through of the music."
"167","Today, the little illustration of 'Mammy' on the postcard would be considered non-politically correct, but back in the 40's, it was most certainly associated with Southern hospitality and cuisine."
"168","Now they were coming after him."
"169","That's when I say 'Oh what luck"
"170","Let the page dry and then record your thoughts. I use Prismacolor Markers in my nature journal (I wrote a review of these markers HERE). I made sure to use one of the color blocks for the month and year. You could even sketch something in one of the blocks if you want to since this is your nature journal. I love to do make some doodle-style frames for my color blocks with swirls, dots, and dashes. Be creative and have some fun!"
"171","Stamp: Bildmålarna- Mimosa lighting up"
"172","I hope you will check out the rest of this week's creations...maybe even leave some kind words for the DT's efforts. I would love to see what you come up with using this sketch...."
"173","“Lisa, you’re frightening me!”"
"174","Anyway, back to the book search. Any suggestions?"
"175","Do you know how fucked up it is to do that to a six-year-old?"
"176","- Be brave enough to kill a tiger if it’s endangering them."
"177","It will also serve the proposed Ann Arbor to Detroit commuter rail line. Eventually, the commuter rail line will allow easy bus connection to the Detroit Metropolitan Airport."
"178","1. those of the ""land and bush""; and"
"179","Level 9: MP Cost: 12, Duration: 114 seconds, ATT: +19."
"180","And unknown trees lived there that gave off a phosphorescent gleam;"
"181","China’s Defence Budget for 2012 continues to follow anticipated trend lines in keeping with its plan of carrying out Revolution in Military Affairs in a calibrated, coordinated and comprehensive manner. The actual figures of the Chinese Defence budget continues to be a source of conjecture and no standard factors can assist in accurate prediction of the real expenditure. The allocation for 2012 appears to suggest that ‘it is business as usual’ for the PLA, although there are reports of a substantial rise in salaries and expenditure on improving the living standards even as it finds new ways to woo young men and women to join the PLA. It would be prudent to assume that the bulk of the monies will be directed at ensuring domination of the Asia- Pacific by developing its ‘ Anti-Access Area Denial’ strategies while building on a nascent expeditionary capability for power projection and protection of its interests globally. As far as India is concerned, we will see no let up in the momentum of infrastructure development in the TAR and the possible establishment of the PLA`s first base overseas in the Indian Ocean in the near future."
"182","All the family is spread out this evening on activities. #1 son is a groomsman in his cousin's wedding and is at the rehearsal tonight, daughter is with her b-friend's family as they get ready for his college graduation tomorrow, d-in-love is dog sitting for daughter tonight."
"183","And while there are thousands more known people who could be placed on the timeline, there must be many more unknown thousands who could never make themselves widely known because they did not have the communication skills, the technology, or the great desire to express their realization. If the Internet was around in the 20′s, 30′s, 40′s, and so on, there’d be thousands more confessors and expressers of nonduality. If we guys of the Internet era can hold our own when it comes to nonduality, it has certainly been true for the last hundred years in the West, and throughout the world in all nations and times."
